x_1,x_2,y
57,116.16550157683882,465.49650473051645
98,198.86555945297877,795.5966783589363
26,46.93227157665095,195.79681472995284
18,34.175895081138336,141.52768524341502
9,14.181966987453864,63.54590096236159
56,107.64790143325686,437.9437042997706
58,119.2283794547096,476.68513836412876
79,154.09432050843367,623.2829615253011
73,153.21449556810526,608.6434867043158
37,79.47906452251726,315.4371935675518
0,-2.3513575465761383,-4.054072639728415
52,112.32040359553793,443.9612107866138
99,195.16557270353275,786.4967181105983
14,34.13271497670772,133.39814493012315
68,134.36545412350608,542.0963623705182
75,148.18293417111494,597.5488025133448
50,96.64540787203168,392.93622361609505
81,167.44777881397872,667.3433364419361
22,49.01958692071805,194.05876076215415
35,62.904142041103164,261.71242612330946
96,195.85059258297622,782.5517777489287
72,142.25903162256168,573.777094867685
31,52.37427819193033,222.122834575791
95,181.97985001685353,738.9395500505606
44,78.17384351237246,325.52153053711737
39,77.66158834461228,313.9847650338369
74,138.0556113132635,565.1668339397905
85,160.64898241197375,654.9469472359212
10,24.626420553631586,96.87926166089476
80,161.29124973136555,646.8737491940967
